Recorrido	Fecha y hora		Controlar
11	28.10.2021 21:00	Granada - Getafe	1 : 1
11	28.10.2021 22:30	Levante - Atlético M	2 : 2
12	30.10.2021 15:00	Elche - Real Madrid	1 : 2
12	30.10.2021 17:15	Sevilla - Osasuna	2 : 0
12	30.10.2021 19:30	Valencia - Villarreal	2 : 0
12	30.10.2021 22:00	Barcelona - Alavés	1 : 1
12	31.10.2021 16:00	Cádiz - Mallorca	1 : 1
12	31/10/2021 18:15	Atlético M – Real Betis	3 : 0
12	31.10.2021 20:30	Getafe - Espanyol	2 : 1
12	31.10.2021 23:00	Real Sociedad – Atlético B	1 : 1
12	01.11.2021 20:30	Rayo Vallecano - Celta	0 : 0
12	01.11.2021 23:00	Levante - Granada	0 : 3
13	05.11.2021 23:00	Atlético B – Cádiz	0 : 1
13	06.11.2021 16:00	Espanyol - Granada	2 : 0
13	06.11.2021 18:15	Celta - Barcelona	3 : 3
13	06.11.2021 20:30	Alavés - Levante	2 : 1
13	06.11.2021 23:00	Real Madrid - Rayo Vallecano	2 : 1
13	07.11.2021 16:00	Villarreal - Getafe	1 : 0
13	07.11.2021 18:15	Valencia - Atlético M	3 : 3
13	07.11.2021 20:30	Mallorca – Elche	2 : 2
13	07.11.2021 20:30	Osasuna - Real Sociedad	0 : 2
13	07.11.2021 23:00	Betis – Sevilla	0 : 2
14	19/11/2021 23:00	Levante – Atlético B	0 : 0
14	20.11.2021 16:00	Celta - Villarreal	1 : 1
14	20.11.2021 18:15	Sevilla – Alavés	2 : 2
14	20.11.2021 20:30	Atlético M - Osasuna	1 : 0
14	20.11.2021 23:00	Barcelona - Espanyol	1 : 0
14	21.11.2021 16:00	Getafe - Cadiz	4 : 0
14	21.11.2021 18:15	Granada - Real Madrid	1 : 4
14	21.11.2021 20:30	Elche - Betis	0 : 3
14	21.11.2021 23:00	Real Sociedad - Valencia	0 : 0
14	22.11.2021 23:00	Rayo Vallecano - Mallorca	3 : 1
15	26.11.2021 23:00	Atlético B – Granada	2 : 2
15	27.11.2021 16:00	Alavés - Celta	1 : 2
15	27.11.2021 18:15	Valencia - Rayo Vallecano	1 : 1
15	27.11.2021 20:30	Mallorca – Getafe	0 : 0
15	27.11.2021 23:00	Villarreal – Barcelona	1 : 3
15	28.11.2021 16:00	Betis – Levante	3 : 1
15	28.11.2021 18:15	Espanyol - Real Sociedad	1 : 0
15	28.11.2021 20:30	Cádiz – Atlético M	1 : 4
15	28.11.2021 23:00	Real Madrid - Sevilla	2 : 1
15	29.11.2021 23:00	Osasuna - Elche	1 : 1
9	01.12.2021 23:00	Real Madrid - Atlético B	1 : 0
16	03.12.2021 23:00	Granada - Alavés	2 : 1
16	04.12.2021 16:00	Sevilla - Villarreal	1 : 0
16	04.12.2021 18:15	Barcelona - Betis	0 : 1
16	04.12.2021 20:30	Atlético M - Mallorca	1 : 2
16	04.12.2021 23:00	Real Sociedad - Real Madrid	0 : 2
16	05.12.2021 16:00	Rayo Vallecano – Espanyol	1 : 0
16	05.12.2021 18:15	Elche - Cádiz	3 : 1
16	05.12.2021 20:30	Levante - Osasuna	0 : 0
16	05.12.2021 23:00	Celta - Valencia	1 : 2
16	06.12.2021 23:00	Getafe - Atlético B	0 : 0
17	10.12.2021 23:00	Mallorca - Celta	0 : 0
17	11.12.2021 16:00	Espanyol - Levante	4 : 3
17	11.12.2021 18:15	Alavés - Getafe	1 : 1
17	11.12.2021 20:30	Valencia - Elche	2 : 1
17	11.12.2021 23:00	Atlético B - Sevilla	0 : 1
17	12.12.2021 16:00	Villarreal - Rayo Vallecano	2 : 0
17	12/12/2021 18:15	Osasuna - Barcelona	2 : 2
17	12.12.2021 20:30	Betis - Real Sociedad	4 : 0
17	12.12.2021 23:00	Real Madrid - Atlético M	2 : 0
17	13.12.2021 23:00	Cádiz - Granada	1 : 1
18	17/12/2021 23:00	Celta - Espanyol	3 : 1
18	18.12.2021 16:00	Rayo Vallecano - Alavés	2 : 0
18	18.12.2021 18:15	Real Sociedad - Villarreal	1 : 3
18	18.12.2021 20:30	Barcelona – Elche	3 : 2
18	18.12.2021 23:00	Sevilla - Atlético M	2 : 1
